[CV] k=10 fold=2
[CV] TRAIN subjects (45): ['SC4002E0', 'SC4011E0', 'SC4012E0', 'SC4022E0', 'SC4032E0'] ...
[CV] VAL   subjects (1):   ['SC4001E0']
[CV] TEST  subjects (5):  ['SC4021E0', 'SC4031E0', 'SC4041E0', 'SC4241E0', 'SC4251E0'] ...
=== DEVICE: cuda ===
=== START TRAIN (CV fold) ===
[F2] [E07] batch 0220 | loss=0.7058 | acc=0.777
[F2] [E07] batch 0230 | loss=0.6932 | acc=0.781
[F2] [E07] batch 0240 | loss=0.6767 | acc=0.805
[F2] [E07] batch 0250 | loss=0.7188 | acc=0.781
[F2] [E07] batch 0260 | loss=0.6511 | acc=0.809
[F2] [E07] batch 0270 | loss=0.6657 | acc=0.816
[F2] [E07] batch 0280 | loss=0.6566 | acc=0.836
[F2] [E07] batch 0290 | loss=0.7613 | acc=0.777
[F2] [E07] batch 0300 | loss=0.7242 | acc=0.754
[F2] [E07] batch 0310 | loss=0.6511 | acc=0.812
[F2] [E07] batch 0320 | loss=0.7248 | acc=0.750
[F2] [E07] batch 0330 | loss=0.7056 | acc=0.766
[F2] [E07] batch 0340 | loss=0.6471 | acc=0.812
[F2] [E07] batch 0350 | loss=0.7274 | acc=0.777
[F2] [E07] batch 0360 | loss=0.7133 | acc=0.781
[F2] [E07] batch 0370 | loss=0.7004 | acc=0.781
[F2] [E07] batch 0380 | loss=0.6058 | acc=0.852
[F2] [E07] batch 0390 | loss=0.7030 | acc=0.785
[F2] [E07] batch 0400 | loss=0.6674 | acc=0.797
[F2] [E07] batch 0410 | loss=0.6349 | acc=0.816
[F2] [E07] batch 0420 | loss=0.6805 | acc=0.781
[F2] [E07] batch 0430 | loss=0.6417 | acc=0.812
[F2] [E07] batch 0440 | loss=0.6798 | acc=0.785
[F2] [E07] batch 0450 | loss=0.6584 | acc=0.785
[F2] [E07] batch 0460 | loss=0.6926 | acc=0.789
[F2] [E07] batch 0470 | loss=0.6902 | acc=0.809
[F2] [E07] total_loss=333.754 | VAL acc=0.928 | F1=0.740 | kappa=0.834
[F2] [E08] batch 0000 | loss=0.8052 | acc=0.734
[F2] [E08] batch 0010 | loss=0.7045 | acc=0.789
[F2] [E08] batch 0020 | loss=0.6704 | acc=0.789
[F2] [E08] batch 0030 | loss=0.6696 | acc=0.824
[F2] [E08] batch 0040 | loss=0.7170 | acc=0.773
[F2] [E08] batch 0050 | loss=0.6636 | acc=0.812
[F2] [E08] batch 0060 | loss=0.6671 | acc=0.809
[F2] [E08] batch 0070 | loss=0.6385 | acc=0.816
[F2] [E08] batch 0080 | loss=0.7088 | acc=0.789
