[INFO] Transformer | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
[DBG] model dtype: torch.float32
=== START TRAIN (Transformer) ===
[E03] b0640 | loss=0.5062 | acc=0.875
[E03] b0650 | loss=0.5666 | acc=0.823
[E03] b0660 | loss=0.5725 | acc=0.875
[E03] b0670 | loss=0.5797 | acc=0.833
[E03] b0680 | loss=0.6175 | acc=0.802
[E03] b0690 | loss=0.4734 | acc=0.906
[E03] b0700 | loss=0.4823 | acc=0.885
[E03] b0710 | loss=0.5963 | acc=0.833
[E03] b0720 | loss=0.5366 | acc=0.875
[E03] b0730 | loss=0.5769 | acc=0.812
[E03] b0740 | loss=0.5683 | acc=0.833
[E03] b0750 | loss=0.6431 | acc=0.781
[E03] b0760 | loss=0.5814 | acc=0.885
[E03] b0770 | loss=0.5291 | acc=0.844
[E03] b0780 | loss=0.5895 | acc=0.833
[E03] b0790 | loss=0.6352 | acc=0.844
[E03] b0800 | loss=0.6455 | acc=0.812
[E03] b0810 | loss=0.6675 | acc=0.750
[E03] b0820 | loss=0.5721 | acc=0.833
[E03] b0830 | loss=0.7258 | acc=0.792
[E03] b0840 | loss=0.5497 | acc=0.865
[E03] b0850 | loss=0.5232 | acc=0.875
[E03] b0860 | loss=0.5178 | acc=0.865
[E03] b0870 | loss=0.5257 | acc=0.865
[E03] b0880 | loss=0.6015 | acc=0.802
[E03] b0890 | loss=0.5620 | acc=0.854
[E03] b0900 | loss=0.5998 | acc=0.854
[E03] b0910 | loss=0.6130 | acc=0.833
[E03] b0920 | loss=0.5805 | acc=0.865
[E03] b0930 | loss=0.6212 | acc=0.812
[E03] b0940 | loss=0.5550 | acc=0.833
[E03] b0950 | loss=0.5467 | acc=0.844
[E03] b0960 | loss=0.4817 | acc=0.896
[E03] b0970 | loss=0.6183 | acc=0.844
[E03] b0980 | loss=0.5081 | acc=0.865
[E03] b0990 | loss=0.5133 | acc=0.885
[E03] b1000 | loss=0.7406 | acc=0.781
[E03] b1010 | loss=0.4995 | acc=0.885
[E03] b1020 | loss=0.6005 | acc=0.823
[E03] b1030 | loss=0.6007 | acc=0.823
[E03] b1040 | loss=0.5646 | acc=0.865
[E03] b1050 | loss=0.7639 | acc=0.812
[E03] b1060 | loss=0.6035 | acc=0.844
[E03] b1070 | loss=0.6102 | acc=0.812
[E03] b1080 | loss=0.6224 | acc=0.802
[E03] b1090 | loss=0.5878 | acc=0.823
[E03] b1100 | loss=0.5756 | acc=0.854
[E03] b1110 | loss=0.5860 | acc=0.802
[E03] b1120 | loss=0.4303 | acc=0.927
[E03] b1130 | loss=0.5626 | acc=0.854
[E03] b1140 | loss=0.5766 | acc=0.833
[E03] b1150 | loss=0.5501 | acc=0.896
[E03] b1160 | loss=0.5393 | acc=0.875
[E03] b1170 | loss=0.4727 | acc=0.885
[E03] b1180 | loss=0.5784 | acc=0.833
[E03] b1190 | loss=0.5930 | acc=0.865
[E03] b1200 | loss=0.5311 | acc=0.854
[E03] b1210 | loss=0.6159 | acc=0.802
[E03] b1220 | loss=0.5227 | acc=0.875
[E03] b1230 | loss=0.5737 | acc=0.833
[E03] b1240 | loss=0.6527 | acc=0.750
[E03] b1250 | loss=0.5647 | acc=0.854
[E03] b1260 | loss=0.5502 | acc=0.854
[E03] b1270 | loss=0.4963 | acc=0.885
[E03] b1280 | loss=0.6463 | acc=0.823
[E03] b1290 | loss=0.6204 | acc=0.823
[E03] b1300 | loss=0.5852 | acc=0.812
[E03] b1310 | loss=0.4780 | acc=0.896
[E03] b1320 | loss=0.5337 | acc=0.833
[E03] b1330 | loss=0.4811 | acc=0.906
[E03] b1340 | loss=0.4754 | acc=0.896
[E03] b1350 | loss=0.5162 | acc=0.885
[E03] b1360 | loss=0.5310 | acc=0.865
[E03] total_loss=792.731 | VAL acc=0.875 | F1=0.689 | kappa=0.757
[E04] b0000 | loss=0.6189 | acc=0.812
[E04] b0010 | loss=0.5344 | acc=0.854
[E04] b0020 | loss=0.4040 | acc=0.927
[E04] b0030 | loss=0.5163 | acc=0.875
[E04] b0040 | loss=0.4695 | acc=0.865
[E04] b0050 | loss=0.5257 | acc=0.875
[E04] b0060 | loss=0.5415 | acc=0.885
[E04] b0070 | loss=0.6483 | acc=0.802
[E04] b0080 | loss=0.5975 | acc=0.812
[E04] b0090 | loss=0.6199 | acc=0.802
[E04] b0100 | loss=0.5801 | acc=0.844
[E04] b0110 | loss=0.6397 | acc=0.812
[E04] b0120 | loss=0.5473 | acc=0.865
[E04] b0130 | loss=0.4865 | acc=0.896
[E04] b0140 | loss=0.4580 | acc=0.885
[E04] b0150 | loss=0.5161 | acc=0.896
[E04] b0160 | loss=0.6123 | acc=0.812
[E04] b0170 | loss=0.5691 | acc=0.865
