[INFO] CNN+BiLSTM | TRAIN=130703 | VAL=2804
=== DEVICE: cuda ===
=== START TRAIN ===
[E04] b0090 | loss=0.5877 | acc=0.844
[E04] b0100 | loss=0.5601 | acc=0.867
[E04] b0110 | loss=0.6096 | acc=0.852
[E04] b0120 | loss=0.5930 | acc=0.859
[E04] b0130 | loss=0.5960 | acc=0.797
[E04] b0140 | loss=0.6342 | acc=0.797
[E04] b0150 | loss=0.5427 | acc=0.859
[E04] b0160 | loss=0.5615 | acc=0.836
[E04] b0170 | loss=0.5098 | acc=0.859
[E04] b0180 | loss=0.5243 | acc=0.844
[E04] b0190 | loss=0.5761 | acc=0.852
[E04] b0200 | loss=0.5847 | acc=0.844
[E04] b0210 | loss=0.6557 | acc=0.766
[E04] b0220 | loss=0.6383 | acc=0.797
[E04] b0230 | loss=0.6257 | acc=0.812
[E04] b0240 | loss=0.6632 | acc=0.828
[E04] b0250 | loss=0.6005 | acc=0.828
[E04] b0260 | loss=0.5866 | acc=0.828
[E04] b0270 | loss=0.5440 | acc=0.812
[E04] b0280 | loss=0.5238 | acc=0.898
[E04] b0290 | loss=0.5775 | acc=0.828
[E04] b0300 | loss=0.5390 | acc=0.852
[E04] b0310 | loss=0.5382 | acc=0.859
[E04] b0320 | loss=0.6578 | acc=0.805
[E04] b0330 | loss=0.6096 | acc=0.828
[E04] b0340 | loss=0.6936 | acc=0.766
[E04] b0350 | loss=0.5588 | acc=0.844
[E04] b0360 | loss=0.5607 | acc=0.852
[E04] b0370 | loss=0.5297 | acc=0.852
[E04] b0380 | loss=0.5206 | acc=0.875
[E04] b0390 | loss=0.5215 | acc=0.891
[E04] b0400 | loss=0.6095 | acc=0.820
[E04] b0410 | loss=0.6458 | acc=0.812
[E04] b0420 | loss=0.5979 | acc=0.852
[E04] b0430 | loss=0.6388 | acc=0.797
[E04] b0440 | loss=0.6287 | acc=0.820
[E04] b0450 | loss=0.4801 | acc=0.891
[E04] b0460 | loss=0.5388 | acc=0.875
[E04] b0470 | loss=0.6159 | acc=0.820
[E04] b0480 | loss=0.6651 | acc=0.805
[E04] b0490 | loss=0.5978 | acc=0.852
[E04] b0500 | loss=0.4932 | acc=0.875
[E04] b0510 | loss=0.6035 | acc=0.820
[E04] b0520 | loss=0.5531 | acc=0.875
[E04] b0530 | loss=0.6170 | acc=0.789
[E04] b0540 | loss=0.5412 | acc=0.859
[E04] b0550 | loss=0.5826 | acc=0.828
[E04] b0560 | loss=0.5901 | acc=0.859
[E04] b0570 | loss=0.7078 | acc=0.773
[E04] b0580 | loss=0.6266 | acc=0.797
[E04] b0590 | loss=0.5082 | acc=0.828
[E04] b0600 | loss=0.6314 | acc=0.805
[E04] b0610 | loss=0.5520 | acc=0.859
[E04] b0620 | loss=0.5141 | acc=0.875
[E04] b0630 | loss=0.5447 | acc=0.883
[E04] b0640 | loss=0.5431 | acc=0.852
[E04] b0650 | loss=0.5613 | acc=0.859
[E04] b0660 | loss=0.6209 | acc=0.844
[E04] b0670 | loss=0.5883 | acc=0.828
[E04] b0680 | loss=0.4899 | acc=0.883
[E04] b0690 | loss=0.5663 | acc=0.789
[E04] b0700 | loss=0.5050 | acc=0.891
[E04] b0710 | loss=0.5497 | acc=0.859
[E04] b0720 | loss=0.6291 | acc=0.797
[E04] b0730 | loss=0.5309 | acc=0.859
[E04] b0740 | loss=0.4699 | acc=0.898
[E04] b0750 | loss=0.5525 | acc=0.828
[E04] b0760 | loss=0.4940 | acc=0.867
[E04] b0770 | loss=0.5865 | acc=0.828
[E04] b0780 | loss=0.5719 | acc=0.812
[E04] b0790 | loss=0.5576 | acc=0.844
[E04] b0800 | loss=0.5261 | acc=0.883
[E04] b0810 | loss=0.4945 | acc=0.883
[E04] b0820 | loss=0.5306 | acc=0.836
[E04] b0830 | loss=0.5930 | acc=0.820
[E04] b0840 | loss=0.5228 | acc=0.883
[E04] b0850 | loss=0.5329 | acc=0.883
[E04] b0860 | loss=0.5923 | acc=0.820
[E04] b0870 | loss=0.6187 | acc=0.820
[E04] b0880 | loss=0.5541 | acc=0.844
[E04] b0890 | loss=0.5482 | acc=0.859
[E04] b0900 | loss=0.6107 | acc=0.820
[E04] b0910 | loss=0.5350 | acc=0.828
[E04] b0920 | loss=0.5279 | acc=0.898
[E04] b0930 | loss=0.4929 | acc=0.898
[E04] b0940 | loss=0.6293 | acc=0.789
[E04] b0950 | loss=0.5481 | acc=0.844
[E04] b0960 | loss=0.5516 | acc=0.852
[E04] b0970 | loss=0.5323 | acc=0.867
[E04] b0980 | loss=0.5132 | acc=0.891
[E04] b0990 | loss=0.4856 | acc=0.875
[E04] b1000 | loss=0.5600 | acc=0.859
[E04] b1010 | loss=0.5162 | acc=0.875
